.xIALAdjMatrix
20
Uzol 1,Uzol 2,Uzol 3,Uzol 4,Uzol 5,Uzol 6,Uzol 7,Uzol 8,Uzol 9,Uzol 10,Uzol 11,Uzol 12,Uzol 13,Uzol 14,Uzol 15,Uzol 16,Uzol 17,Uzol 18,Uzol 19,Uzol 20
0,0,153,0,0,0,0,216,0,0,0,161,0,110,0,0,0,0,159,0
0,0,0,0,227,0,0,0,0,204,0,0,0,243,0,0,95,0,0,0
153,0,0,0,12,0,0,0,195,0,171,0,0,0,41,0,0,0,0,0
0,0,0,0,16,0,0,0,63,0,15,0,0,0,62,0,0,0,0,0
0,227,12,16,0,67,0,0,42,0,0,0,0,106,0,85,0,0,0,0
0,0,0,0,67,0,12,0,0,0,37,0,0,94,0,0,0,0,0,23
0,0,0,0,0,12,0,0,103,0,0,0,4,0,0,0,0,97,0,0
216,0,0,0,0,0,0,0,163,0,0,0,98,0,0,0,0,80,0,0
0,0,195,63,42,0,103,163,0,59,0,0,0,0,12,0,0,0,160,0
0,204,0,0,0,0,0,0,59,0,0,0,195,0,0,0,138,0,0,0
0,0,171,15,0,37,0,0,0,0,0,213,0,0,0,218,0,0,208,0
161,0,0,0,0,0,0,0,0,0,213,0,0,0,63,0,0,0,0,0
0,0,0,0,0,0,4,98,0,195,0,0,0,124,0,0,0,89,0,0
110,243,0,0,106,94,0,0,0,0,0,0,124,0,26,0,0,31,0,0
0,0,41,62,0,0,0,0,12,0,0,63,0,26,0,0,0,236,0,0
0,0,0,0,85,0,0,0,0,0,218,0,0,0,0,0,0,126,0,0
0,95,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,248
0,0,0,0,0,0,97,80,0,0,0,0,89,31,236,126,0,0,0,0
159,0,0,0,0,0,0,0,160,0,208,0,0,0,0,0,0,0,0,0
0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,248,0,0,0
